region;slope;plot_id;plotID;CWM_N;CWM_CN ;RGR;wd;ACW_Cstock;L_O_Cstock;Root_Cstock;NPProot;NPPLitter;NPPACW;totalNPP;root_allocation;root_allocation;litter_allocation;ACW_allocation;ACW_allocation2;Trees; BA;NMDS1;NMDS2;richness;shannon;dbh;Tree_height;CEC;ECEC;pH;clay;silt ;sand;NH4;Bio_P;K_ex;Ca_ex;Mg_ex;Base_ex;NO3;Total_Ca;Total_K;Total_Mg;TRB;Total_P;Total_N;CN;SOC;MAP;MAT
Felsic;PL;UPL1;UPL1;2.762416846;17.57119377;3.7932287;0.518001449;133.2258222;5.126365347;7.440472091;2.793303783;4.64249989;4.833815127;12.2696188;0.227660193;22.7660193;0.378373604;0.393966203;39.3966203;418.75;40.02075212;1.583776126;0.052562134;24;2.572168702;28.25223881;16.075;25.30294003;25.49881196;6.12;33.6;16.72;58.4;176.9567898;14.22087732;0.844;20.21;3.262;24.316;9.534114534;0.35766;0.14364;0.30043;0.80173;0.039455171;0.50676;9.574808588;175.4736044;1702;19.2
Felsic;V;UPL10;UPL10;2.436939459;17.71231464;6.1272942;0.55360625;49.51591884;3.7797532;6.704200078;1.833235566;2.882995602;2.824685887;7.540917055;0.243105123;24.3105123;0.38231366;0.374581217;37.4581217;200;15.77970211;2.515430599;0.528990511;15;2.488411039;27.659375;18.2;17.91161464;14.37829428;5.68;24.88;14;56.4;86.01352305;10.74498615;0.639;10.419;2.516;13.574;7.108013706;0.42218;0.17442;0.36606;0.96266;0.091469415;0.33458;10.11058641;130.8888336;1702;19.2
Felsic;V;UPL11;UPL11;2.738659354;17.79232093;5.5973795;0.536807692;85.94241091;2.895072036;9.21136025;2.321192239;3.107794108;4.506129978;9.935116325;0.233635135;23.3635135;0.312809031;0.453555835;45.3555835;325;27.36182901;1.93448581;0.054688728;12;2.076264395;27.80576923;19.94545455;8.547391327;14.48640077;5.2;29.6;12;62.4;88.37076698;17.93113302;0.409;11.587;1.688;13.684;8.718216133;0.43067;0.1695;0.35265;0.95282;0.086812149;0.32561;9.498664046;107.1988566;1702;19.2
Felsic;V;UPL12;UPL12;2.40179103;19.98785985;2.9701698;0.524670213;143.9245927;6.216836291;7.555085073;2.596480406;3.269885414;4.128322003;9.994687823;0.259786044;25.9786044;0.327162336;0.413051621;41.3051621;293.75;42.44645703;2.234811149;0.230045366;17;2.453482219;35.61914894;19.43333333;29.56868976;28.7702234;5.72;25.6;12;54.4;86.52564638;24.07486784;0.486;22.455;4.269;27.21;1.054237211;0.40295;0.16861;0.32031;0.89187;0.033730862;0.26074;11.64926747;102.2840404;1702;19.2
Felsic;PL;UPL2;UPL2;2.964902979;16.47513773;3.6482275;0.534012791;122.9528747;5.448111561;6.731443192;1.670605428;2.90192993;4.297797188;8.870332546;0.188336279;18.8336279;0.327150072;0.484513649;48.4513649;518.75;36.59251489;2.263775123;0.030674696;16;1.922200722;26.64096386;16.47692308;18.40112497;18.83663602;5.5;33.6;10;56.4;110.2153903;38.52167694;0.614;14.79;2.587;17.991;31.24743662;0.37696;0.15867;0.30823;0.84386;0.034836511;0.40728;9.925824985;113.6167652;1702;19.2
Felsic;PL;UPL3;UPL3;2.142356778;20.93852696;4.8588682;0.578706742;134.9118606;3.903576939;11.77153051;1.106549777;3.456142993;6.193070633;10.7557634;0.102879706;10.2879706;0.321329399;0.575790895;57.5790895;543.75;38.61883214;2.489199471;-0.281986569;15;1.815754802;25.87356322;15.42222222;20.04341391;21.33740388;5.52;33.6;10;56.4;118.8681707;42.86326618;0.691;17.665;2.093;20.449;23.31754524;0.47653;0.18861;0.4103;1.07544;0.09574591;0.48731;9.833658246;226.5817977;1702;19.2
Felsic;UP;UPL4;UPL4;2.790628014;19.35534409;4.1855432;0.555966667;147.6348093;4.649051878;8.736720987;1.522796637;3.633052338;5.883732247;11.03958122;0.13793971;13.793971;0.329093311;0.532966978;53.2966978;387.5;39.44050302;1.521160294;0.270696912;15;2.023155255;28.75322581;16.38571429;19.71495612;17.32785733;5.25;43.6;12;44.4;132.0240704;20.07429633;0.716;12.934;2.832;16.482;2.651212765;0.25443;0.11315;0.21331;0.58089;0.035442619;0.31762;9.411120207;104.9050791;1702;19.2
Felsic;UP;UPL5;UPL5;3.077683227;20.85195832;5.0819269;0.513904167;112.6026041;4.617965132;6.307108479;1.410747411;2.707505279;5.392325554;9.510578244;0.148334557;14.8334557;0.284683561;0.566981882;56.6981882;300;34.98784703;1.730860362;-0.088371665;16;2.408599629;32.51041667;17.63333333;20.04341391;16.05910751;5.36;38.88;12.72;48.4;155.0684907;9.287041006;0.665;11.647;2.859;15.171;6.587375357;0.29817;0.1252;0.24624;0.66961;0.031635493;0.35409;9.34590076;118.9771817;1702;19.2
Felsic;UP;UPL6;UPL6;2.556634634;18.64700845;4.1631038;0.519290789;147.3490578;4.144754918;7.696878512;1.75789014;3.300846859;5.842383889;10.90112089;0.161257742;16.1257742;0.302798849;0.535943409;53.5943409;475;48.58364136;2.004758181;0.244338675;18;2.393244211;30.01710526;14.90588235;15.85638022;17.45034486;6.22;33.6;10;56.4;109.6721376;4.871060648;0.614;13.872;2.161;16.647;1.466721524;0.25917;0.11241;0.1904;0.56198;0.035442619;0.23021;8.980800139;98.93191727;1702;19.2
Felsic;MS;UPL7;UPL7;2.989255859;15.79596726;6.2428809;0.611977011;114.7397643;3.254551269;15.65711476;2.827050278;3.2684081;6.660046481;12.75550486;0.221633742;22.1633742;0.256235103;0.522131155;52.2131155;537.5;32.2540086;1.730746951;-0.533484225;19;2.241569041;24.18953488;15.88;13.47425815;15.56614658;4.74;34.88;12.72;52.4;66.85558703;10.21574511;0.307;11.407;3.007;14.721;115.19926;0.27108;0.13307;0.23815;0.6423;0.073532295;0.31462;10.86977942;136.7331946;1702;19.2
Felsic;MS;UPL8;UPL8;2.924068705;15.66581346;4.4542965;0.577521053;155.4662847;3.84536861;9.857468711;2.650309393;3.569790573;6.573139467;12.79323943;0.207164839;20.7164839;0.279037267;0.513797893;51.3797893;712.5;46.83309766;2.157648852;-0.48759452;23;2.550042302;24.48947368;14.11818182;18.89812717;12.12780961;4.53;30.32;7.28;62.4;58.84855489;27.93256179;0.435;9.461;1.428;11.324;10.87571899;0.19434;0.10386;0.18747;0.48567;0.032795147;0.37364;11.00645006;171.3505668;1702;19.2
Felsic;MS;UPL9;UPL9;2.956662282;15.73089036;4.8468936;0.557484848;67.52872649;5.255672979;5.316147511;1.838466216;3.069299588;3.092666298;8.000432102;0.229795865;22.9795865;0.383641727;0.386562408;38.6562408;412.5;22.22475342;2.157386641;-0.710569438;22;2.600342979;22.29545455;12.49230769;22.84417726;18.97840662;4.74;34.32;7.28;58.4;65.23034994;12.78754108;0.307;15.13;2.358;17.795;5.218372992;0.27195;0.12698;0.23158;0.63051;0.069346076;0.35818;10.25587693;168.3567776;1702;19.2
Mafic;V;KBPL10;KBPL10;3.602962415;12.89084835;7.569588;0.429179545;87.26648073;14.68060067;3.657185992;0.464565627;4.19455555;6.110827002;10.76994818;0.043135363;4.3135363;0.389468499;0.567396138;56.7396138;275;28.79189957;-0.739477498;-1.49429596;10;1.73219952;31.52318182;14.11428571;50.57383311;33.20573087;5.4;46.88;14;39.12;178.4325002;32.77535561;0.793;24.251;7.359;32.403;21.74214271;0.42266;0.16286;0.42926;1.01478;0.18082544;0.66521;9.519685513;208.4373015;1924;15.3
Mafic;V;KBPL11;KBPL11;3.033616136;16.30199922;7.5705079;0.542242593;120.2523955;11.28195429;4.038030126;2.766540584;4.725869342;8.421607267;15.91401719;0.173843006;17.3843006;0.296962689;0.529194305;52.9194305;675;37.40150331;-1.363059163;-0.706467796;9;1.664273039;22.94583333;15.26428571;41.17152828;15.77204098;4.35;27.6;10;62.4;152.5681142;35.24962165;1.279;8.972;3.578;13.829;9.503379684;0.33537;0.15339;0.47645;0.96521;0.334981127;0.75886;10.56928814;269.6582828;1924;15.3
Mafic;V;KBPL12;KBPL12;3.279855498;16.62425117;6.6429366;0.483733333;72.68466393;9.729831137;5.962814477;1.288812957;4.608301026;4.508944742;10.40605873;0.12385217;12.385217;0.442847878;0.433299952;43.3299952;450;26.3115644;-0.410828256;-0.985825874;12;1.893010921;23.66847222;18.444;50.18471622;9.990886736;3.6;24.88;12;63.12;167.9017591;33.76002293;0.332;2.904;1.405;4.641;6.446325006;0.18913;0.11838;0.33763;0.64514;0.274478546;0.75356;11.76991879;269.0987945;1924;15.3
Mafic;UP;KBPL13;KBPL13;3.625494633;13.19387608;5.5659789;0.432081176;61.47164732;10.7;3.526326229;0.923887372;3.518584778;1.472669521;5.915141671;0.156190236;15.6190236;0.594843703;0.522963022;52.2963022;500;24.67124388;-0.384463217;-1.38395565;15;1.970839573;22.1825;11.49873418;45.70987202;26.41547279;5;48.24;16;31.12;183.0745978;20.25601393;0.5625;18.0135;7.0365;25.6125;14.08220734;0.25917;0.11241;0.1904;0.56198;0.035442619;0.23021;11.37042968;201.5973209;1924;15.3
Mafic;PL;KBPL14;KBPL14;3.404736047;13.77770503;7.150098;0.443598837;101.1586694;10.7;3.83599897;1.682767617;5.043626609;7.016345299;13.74273953;0.122447756;12.2447756;0.367002998;0.510549246;51.0549246;537.5;34.27697928;-0.610976832;-1.117252549;13;2.192250271;23.7677907;10.81395349;45.70987202;26.41547279;5;48.24;12.61333333;31.78666667;183.0745978;20.25601393;0.5625;18.0135;7.0365;25.6125;14.08220734;0.35766;0.14364;0.30043;0.80173;0.039455171;0.50676;10.73187928;192.9663319;1924;15.3
Mafic;MS;KBPL15;KBPL15;3.748561336;12.26103158;6.9396376;0.436731704;75.76729117;10.7;3.600365306;0.163868053;3.90921884;5.7888361;9.861922993;0.016616237;1.6616237;0.39639519;0.586988573;58.6988573;518.75;28.34854588;-0.811721722;-1.004445863;18;2.390871077;23.21927711;11.90722892;45.70987202;26.41547279;5;48.24;8;57.12;183.0745978;20.25601393;0.5625;18.0135;7.0365;25.6125;14.08220734;0.12879;0.07344;0.24799;0.45022;0.098705476;0.39874;11.05729537;198.0492259;1924;15.3
Mafic;MS;KBPL16;KBPL16;3.702120318;12.76849958;5.5659789;0.442067257;107.9182255;10.7;4.47652307;1.101473828;4.605122424;5.866052588;11.57264884;0.095179059;9.5179059;0.397931579;0.506889362;50.6889362;706.25;39.02256719;-0.58966906;-1.210965555;18;2.476498838;23.18442478;13.96168224;45.70987202;26.41547279;5;48.24;16;21.12;183.0745978;20.25601393;0.5625;18.0135;7.0365;25.6125;14.08220734;0.09394;0.0719;0.22103;0.38687;0.131352458;0.46461;10.62923208;164.9945481;1924;15.3
Mafic;UP;KBPL6;KBPL6;3.664017231;12.76107273;6.6822977;0.432081176;115.4698747;7.186845201;7.368538168;0.941409058;5.538176033;7.202652455;13.68223755;0.068805198;6.8805198;0.404771224;0.526423579;52.6423579;531.25;41.35268936;-0.987106466;-1.402286287;12;1.924981408;26.57623529;13.55;40.84591093;19.62521471;4.6;49.6;17.28;33.12;187.7166954;7.736672246;0.332;11.776;6.714;18.822;6.422271977;0.29889;0.13818;0.35931;0.79638;0.192897551;0.63233;9.495658912;190.1050097;1924;15.3
Mixed;PL;NPL1;NPL1;1.882246478;26.27380011;2.2738343;0.607466038;188.963371;53.94927582;14.73975954;6.060278542;4.312070021;4.200088621;14.57243718;0.415872683;41.5872683;0.295905892;0.288221426;28.8221426;331.25;44.58768815;-0.808060212;1.060240095;13;1.812611938;34.10943396;19.99375;31.11798875;8.733707864;3.16;26.88;28;56.4;66.36974972;7.736672246;0.128;0.1;0.12;0.348;24.19951046;-0.06714;0.02276;0.07266;0.02828;0.113242567;0.53005;13.92372418;164.5177113;1697;16.7
Mixed;V;NPL10;NPL10;1.619252191;31.05770418;1.6142184;0.594982105;227.0951736;15.97250554;8.555903979;4.542675114;6.805398262;3.60703158;14.95510496;0.303754145;30.3754145;0.455055199;0.241190656;24.1190656;593.75;57.19685808;-1.181706167;1.786331726;15;2.251951353;28.12947368;19.16470588;15.77346266;5.689422496;2.97;15.6;28;56.4;78.13404663;15.5650316;0.179;0.319;0.174;0.672;4.451439866;0.10926;0.09021;0.16272;0.36219;0.039647716;0.34482;16.56426541;184.2743146;1697;16.7
Mixed;V;NPL11;NPL11;1.721697116;28.59005947;2.2478411;0.599526087;238.8275754;15.52212858;6.672556504;2.151786881;5.38431867;5.249096872;12.78520242;0.168302919;16.8302919;0.421136756;0.410560326;41.0560326;575;58.90188785;-1.490772866;1.37750872;17;2.071145963;28.54565217;17.71764706;19.38649833;7.443491338;2.97;11.2;8;80.8;135.2845039;35.18123629;0.153;0.519;0.194;0.866;5.867075326;0.08189;0.05835;0.18384;0.32408;0.019321179;0.72221;15.35798452;142.4635497;1697;16.7
Mixed;V;NPL12;NPL12;1.550499303;31.49579561;2.1743316;0.614493814;167.9022492;15.67789669;7.601166813;3.826887353;4.834619078;3.572193584;12.23370002;0.312815203;31.2815203;0.395188624;0.291996173;29.1996173;606.25;45.1004169;-1.250605158;1.531506994;15;2.320966633;25.90309278;15.7;17.96663642;6.116427443;3.125;34.64;12;54;93.08128937;10.35392569;0.166;0.419;0.184;0.769;2.514924227;0.17488;0.07076;0.16481;0.41045;-0.099804605;0.36954;14.7295286;62.19559347;1697;16.7
Mixed;PL;NPL2;NPL2;1.882246478;26.27380011;1.5532057;0.606634177;146.3766673;31.43086919;14.48273202;4.546233835;5.660575306;2.238438799;12.44524794;0.365298776;36.5298776;0.454838291;0.179862933;17.9862933;493.75;38.4606993;-0.617268377;1.545977704;13;1.749745469;27.08734177;16.6962963;30.33975498;9.827163445;2.85;48.88;14;37.12;43.9395406;1.899001688;0.077;0.14;0.087;0.304;23.46467647;-0.04342;0.02362;0.05749;0.03769;0.122544308;0.41379;15.11638754;118.6101211;1697;16.7
Mixed;PL;NPL3;NPL3;1.882246478;26.27380011;0.9863038;0.633995455;201.9100557;33.97917583;13.89455183;7.224631645;5.7572433;1.971853751;14.9537287;0.483132454;48.3132454;0.385003862;0.131863684;13.1863684;412.5;44.01559788;-0.420926202;1.19972902;12;1.854913004;28.40151515;16.49666667;30.72887187;9.52140372;2.68;48.88;16;35.12;49.12819978;2.061122573;0.102;0.22;0.099;0.421;14.79099095;0.03665;0.04858;0.08495;0.17018;0.093079972;0.43956;15.07632633;142.0956544;1697;16.7
Mixed;UP;NPL4;NPL4;1.863281232;26.30856318;1.6170988;0.621120548;185.9356114;48.37432408;13.54955556;7.346234172;4.672616904;2.958464636;14.97731571;0.490490707;49.0490707;0.311979596;0.197529697;19.7529697;456.25;47.93644721;-0.801841539;1.677230186;17;2.282416971;33;14.54;10.49479374;5.572081559;2.98;38.88;36;25.12;59.51964461;2.274342189;0.051;0.14;0.072;0.263;19.21520515;0.11771;0.11045;0.11861;0.34677;0.104293667;0.22851;17.3717124;121.4102267;1697;16.7
Mixed;UP;NPL5;NPL5;1.735985049;32.04934184;0.6428421;0.629559821;275.9499369;46.30593894;17.32647823;7.588284617;6.685474249;1.762520969;16.03627984;0.473194824;47.3194824;0.416896831;0.109908345;10.9908345;700;68.6294301;-0.816677487;1.738536662;12;1.988406326;30.78392857;14.31176471;10.36942471;4.990043655;3.316666667;46.88;36;17.12;32.72098866;3.601042023;0.064;0.14;0.0595;0.2635;19.8446882;0.05751;0.08908;0.06622;0.21281;0.109437924;0.19507;17.7932537;122.8936475;1697;16.7
Mixed;UP;NPL6;NPL6;2.238985425;22.4769739;1.7929339;0.589875758;144.7104416;46.8181785;9.376696011;2.951333258;4.407155077;2.548408243;9.906896578;0.297906941;29.7906941;0.444857281;0.257235777;25.7235777;412.5;37.9708355;-0.357245618;1.483437301;16;2.207106703;29.98333333;13.21428571;11.83196921;6.707712769;2.87;20.88;22;57.12;41.28015274;2.132195778;0.102;0.03;0.086;0.218;7.098514686;0.09861;0.08908;0.13915;0.32684;0.052295619;0.22769;14.36505775;86.36150485;1697;16.7
Mixed;MS;NPL7;NPL7;1.92778353;25.49823773;1.8342549;0.632974667;231.0257563;49.37762161;8.370117553;4.476443407;5.210753194;4.160502986;13.84769959;0.323262603;32.3262603;0.376290167;0.30044723;30.044723;468.75;56.12268614;-0.546871808;1.386523921;12;1.644179655;32.68933333;19.11764706;24.64182294;9.065331664;2.96;24.88;14;61.12;54.00433119;4.26439194;0.153;0.03;0.117;0.3;46.5196498;-0.0528;0.02253;0.02728;-0.00299;0.031947027;0.37919;15.61365015;131.997606;1697;16.7
Mixed;MS;NPL8;NPL8;2.017977039;24.42896304;1.8527116;0.633010714;263.3698414;52.72351207;14.186151;6.747244814;4.402827961;4.789824745;15.93989752;0.42329286;42.329286;0.27621432;0.300492819;30.0492819;525;65.23616831;-0.44472415;1.387673872;19;2.159973832;34.83333333;18.45333333;33.83864101;9.923108324;3.23;22.88;12;65.12;88.07098625;2.700781421;0.153;0.09;0.156;0.399;215.3535389;0.0063;0.04584;0.13077;0.18291;0.071185652;0.46395;13.97129001;156.9301285;1697;16.7
Mixed;MS;NPL9;NPL9;2.108170548;23.35968835;2.0840928;0.622403226;204.5058506;37.26203184;13.71008548;8.5609934;5.492154067;4.174132145;18.22727961;0.469680259;46.9680259;0.301315072;0.22900467;22.900467;581.25;51.01875933;-0.679576309;1.435126233;15;1.964207287;28.03655914;14.57058824;23.65644958;8.327074863;3.35;48.88;16;35.12;14.26668473;2.771854627;0.102;0.08;0.138;0.32;28.03211114;0.05425;0.06217;0.1014;0.21782;0.069609734;0.29289;15.27136468;76.89730416;1697;16.7
